Sites,Madrid,Marseille,Turin,Munich,Bruxelles,Londres,Amsterdam,Dublin,Cologne,Berlin,Rome,Lisbonne,Barcelone,Paris,Bordeaux
Madrid,0,1152,1463,2082,1675,1783,1873,2385,1858,2440,2032,659,640,1350,742
Marseille,1152,0,408,1075,1069,1237,1272,1838,1052,1595,923,1800,527,802,678
Turin,1463,408,0,735,1073,1246,1251,1847,1062,1334,700,2111,838,812,855
Munich,2082,1075,735,0,792,1107,848,1709,595,597,962,2710,1457,837,1273
Bruxelles,1675,1069,1073,792,0,330,212,931,215,790,1734,2207,1402,325,928
Londres,1783,1237,1246,1107,330,0,502,693,546,1076,1908,2314,1576,432,1037
Amsterdam,1873,1272,1251,848,212,502,0,1102,267,685,1912,2405,1580,523,1126
Dublin,2385,1838,1847,1709,931,693,1102,0,1147,1677,2508,2915,2178,1034,1638
Cologne,1858,1052,1062,595,215,546,267,1147,0,587,1477,2388,1391,507,1111
Berlin,2440,1595,1334,597,790,1076,685,1677,587,0,1561,2970,1935,1089,1693
Rome,2032,923,700,962,1734,1908,1912,2508,1477,1561,0,2680,1407,1473,1558
Lisbone,659,1800,2111,2710,2207,2314,2405,2915,2388,2970,2680,0,1298,1880,1273
Barcelone,640,527,838,1457,1402,1576,1580,2178,1391,1935,1407,1298,0,1141,668
Paris,1350,802,812,837,325,432,523,1034,507,1089,1473,1880,1141,0,603
Bordeaux,742,678,855,1273,928,1037,1126,1638,1111,1693,1558,1273,668,603,0
